target_drug,target_group,target_role,pairs,signals,strong,signal_rate
dolutegravir,gsk,study,514,151,100,29.4
mepolizumab,gsk,study,1083,267,163,24.7
cabotegravir,gsk,study,452,63,38,13.9
lisinopril,negative_control,neg,541,210,130,38.8
omeprazole,negative_control,neg,1395,440,252,31.5
amlodipine,negative_control,neg,1315,394,203,30.0
metformin,negative_control,neg,1478,364,205,24.6
amoxicillin,negative_control,neg,1192,291,166,24.4
pembrolizumab,trending,study,1637,334,167,20.4
lecanemab,trending,study,149,17,13,11.4
semaglutide,trending,study,1271,102,41,8.0
tirzepatide,trending,study,894,40,19,4.5
rosiglitazone,validation,pos,2,2,2,100.0
rofecoxib,validation,pos,53,50,45,94.3
warfarin,validation,pos,424,178,111,42.0
ciprofloxacin,validation,pos,1031,321,148,31.1
clozapine,validation,pos,953,201,108,21.1
isotretinoin,validation,pos,366,58,31,15.8
